Category,Matches,% of Total
Landing Gear & Undercarriage,46265,1.881
Payload & Mission Systems,30188,1.227
Power & Energy Systems,24738,1.006
Fuselage & Structure,23868,0.97
Avionics & Control Systems,22929,0.932
Propulsion System,18889,0.768
Air Intake & Exhaust System,9911,0.403
Fixed-Wing Aircraft,8088,0.329
Thermal Management & Cooling,5573,0.227
Control Surfaces & Flight Control,4943,0.201
Wing Systems,4406,0.179
UAV / Drone,1784,0.073
Rotary-Wing / Helicopter,1285,0.052
Rotor & Blade Systems,1007,0.041
Acoustic & Noise Reduction,735,0.03
VTOL / Advanced Air Mobility,362,0.015
Safety & Redundancy Systems,251,0.01
Hybrid / Special Configuration,45,0.002
(Uncategorised),2263336,92.016
